full_name,age,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,salary
Degnand Wilfried Gnonto,19,2022/2023,Forward,Leeds United,959,465,494,Italy,13,6,7,2,1,1,1,1,0,0,0,3,2,1,15,8,7,4,0,0.28,0.09,0.19,0.19,0.18,480,1.41,64,74,240,959,0.38,90,136,-1,5,1040000
Dele Alli,26,2022/2023,Midfielder,Everton,38,29,9,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,2.37,38,19,0,0,0.0,-1,-1,-1,21,2600000
Demarai Gray,26,2022/2023,Forward,Everton,1761,838,923,England,23,11,12,3,2,1,1,1,0,1,0,4,3,1,28,13,15,1,0,0.2,0.05,0.15,0.21,0.1,587,1.43,63,77,1761,1761,0.05,107,171,-1,1,1300000
Denis Zakaria,26,2022/2023,Midfielder,Chelsea,317,172,145,Switzerland,5,2,3,0,0,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0,0.85,106,63,0,0,0.0,204,233,-1,19,4680000
Dennis Praet,28,2022/2023,Midfielder,Leicester City,465,230,235,Belgium,14,7,7,1,0,1,0,0,0,0,0,5,3,2,7,4,3,1,0,0.19,0.0,0.19,0.0,0.38,465,1.35,66,33,465,0,0.19,88,341,-1,10,3900000
Diego Carlos,29,2022/2023,Defender,Aston Villa,180,90,90,Brazil,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0,1.5,60,90,0,0,0.0,-1,-1,-1,23,5200000
Diego Da Silva Costa,34,2022/2023,Forward,Wolverhampton Wanderers,685,228,457,Spain,13,4,9,0,0,0,0,0,0,0,0,1,1,0,10,4,6,3,1,0.0,0.0,0.0,0.0,0.0,0,1.31,69,53,171,0,0.53,250,260,-1,15,2600000
Diogo Jota,26,2022/2023,Forward,Liverpool,394,201,193,Portugal,8,4,4,0,0,0,2,1,1,0,0,6,3,3,4,1,3,1,0,0.46,0.46,0.0,0.0,0.0,0,0.91,99,49,394,197,0.23,261,7,-1,12,9360000
Dominic Calvert-Lewin,25,2022/2023,Forward,Everton,735,388,347,England,11,6,5,1,1,0,0,0,0,0,0,3,2,1,12,7,5,1,0,0.12,0.0,0.12,0.23,0.0,735,1.47,61,67,735,0,0.12,132,227,-1,7,1248000
Dominic Solanke,25,2022/2023,Forward,AFC Bournemouth,1617,899,718,England,19,10,9,3,0,3,4,1,3,0,0,5,4,1,28,11,17,1,0,0.39,0.22,0.17,0.0,0.38,539,1.56,58,85,1617,404,0.06,97,47,-1,4,2600000
Donny van de Beek,25,2022/2023,Midfielder,Manchester United,164,86,78,Netherlands,7,4,3,0,0,0,0,0,0,0,0,3,2,1,3,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0,1.65,55,23,0,0,0.0,-1,-1,-1,18,6240000
Douglas Luiz,24,2022/2023,Midfielder,Aston Villa,1683,876,807,Brazil,23,11,12,2,0,2,5,2,3,0,0,6,2,4,26,15,11,4,1,0.37,0.27,0.11,0.0,0.22,842,1.39,65,73,337,337,0.27,136,28,-1,5,3900000
Duje Ćaleta-Car,26,2022/2023,Defender,Southampton,715,386,329,Croatia,10,6,4,0,0,0,0,0,0,0,0,1,0,1,10,5,5,1,0,0.0,0.0,0.0,0.0,0.0,0,1.26,72,72,715,0,0.13,253,223,75,11,2080000
Dwight McNeil,23,2022/2023,Forward,Everton,1330,613,717,England,23,12,11,2,1,1,2,2,0,0,0,6,5,1,25,10,15,3,0,0.27,0.14,0.14,0.15,0.13,665,1.69,53,58,443,665,0.2,114,92,-1,2,1300000
Eberechi Eze,24,2022/2023,Midfielder,Crystal Palace,1606,840,766,England,24,13,11,4,2,2,3,0,3,0,0,6,3,3,22,11,11,1,0,0.39,0.17,0.22,0.21,0.23,402,1.23,73,67,1606,535,0.06,76,72,-1,2,1560000
Edward Nketiah,23,2022/2023,Forward,Arsenal,987,530,457,England,23,12,11,4,3,1,1,1,0,0,0,9,3,6,13,7,6,2,0,0.46,0.09,0.36,0.51,0.2,247,1.19,76,43,494,987,0.18,39,139,-1,6,5200000
